Akronim,Kepanjangan
APNATEL,Asosiasi Perusahaan Nasional Telekomunikasi
APP,Akademi Pimpinan Perusahaan
APPI,"""""1 Asosiasi Perusahaan Pembiayaan Indonesia, 2 Asosiasi Produsen Pupuk Indonesia"
APPLI,Asosiasi Produsen Peralatan Listrik Indonesia
APPM,Asosiasi Praktisi Periklanan Media
APPP,Asosiasi Produsen Pipa Listrik
APRA,Angkatan Perang Ratu Adil
APRI,Angkatan Perang Republik Indonesia
APRINDO,Asosiasi Pengusaha Ritel Indonesia
APRISINDO,Asosiasi Persepatuan Indonesia
APROGAKOB,Asosiasi Produsen Garam Konsumsi Beryodium
APSCSI,Asosiasi Produsen Sodium Cyclamate dan Sacharine Indonesia
APTAKINDO,Asosiasi Profesi Tenaga Ahli Konstruksi Indonesia
APU,Ahli Peneliti Utama
APVA,Asosiasi Perdagangan Valuta Asing
APWKOMITEL,Asosiasi Pengusaha Warnet Komunitas Telematika
AREMA,Arek Malang
ARHANUD,Arteleri Pertahanan Udara
ARINDO,Asosiasi Rotan Indonesia
ARMED,artileri medan
ART.,artikel
ART,anggaran rumah tangga
ARUMBA,alunan rumpun bambu
AS,Amerika Serikat
ASAGHI,Asosiasi Agribisnis Hortikultura Indonesia
ASBINDO,Asosiasi Bunga Indonesia
ASBUN,asal bunyi
ASDAMKINDO,Asosiasi Sumber Daya Manusia Konstruksi Indonesia
ASDP,"""""Angkutan Sungai, Danau, dan Penyeberangan"
ASEPHI,Asosiasi Eksportir dan Produsen Handicraft Indonesia
ASI,air susu ibu
ASKES,asuransi kesehatan
ASKESKIN,asuransi kesehatan keluarga miskin
ASKITEL,Asosiasi Kliring Trafik Telekomunikasi Indonesia
ASKRINDO,asuransi kredit Indonesia
ASM,Akademi Sekretari Manajemen
ASMINDO,Asosiasi Pengusaha Mebel Indonesia
ASPAL,asli tetapi palsu
ASPEP,Asosiasi Pengerjaan Logam dan Permesinan
ASPERINDO,Asosiasi Perusahaan Jasa Pengiriman Ekspres Indonesia
ASPETEX,Asosiasi Pedagang Tekstil
ASPILUKI,Asosiasi Piranti Lunak Telematika Indonesia
ASPRI,asisten pribadi
ASPRINGTA,Asosiasi Perajin Bunga Kering
ASRENA,asisten perencana
ASRI,"""""1 Akademi Seni Rupa Indonesia, 2 Asosiasi Sintetik Resin Indonesia"
ASS. SUPT.,asisten superintenden
ASTEK,"""""1 asuransi tenaga kerja, 2 Asosiasi Sosial Tenaga Kerja"
ASTEKINDO,Asosiasi Tenaga Teknik Konstruksi Indonesia
ASTENG,Asia Tenggara
ASTI,Akademi Seni Tari Indonesia
ASTTATINDO,Asosiasi Tenaga Teknik Ahli dan Terampil Indonesia
[[ASTTI],Afiliasi Seluruh Tenaga Teknik Infrastruktur
ATDIKBUD,Atase Pendidikan dan Kebudayaan
ATAKI,Asosiasi Tenaga Ahli Konstruksi Indonesia
ATAKNAS,Asosiasi Tenaga Ahli Konstruksi Nasional
ATAKSI,Asosiasi Tenaga Ahli Konstruksi Seluruh Indonesia
ATK,alat tulis kantor
ATM,Anjungan Tunai Mandiri
ATMIL,atase militer
ATPM,Agen Tunggal Pemegang Merk
ATVLI,Asosiasi Televisi Lokal Indonesia
ATVSI,Asosiasi Televisi Swasta Indonesia
AU,Angkatan Udara
AUMI,Asosiasi Usaha Menengah Indonesia
AUP,Akademi Usaha Perikanan
AURI,Angkatan Udara Republik Indonesia
B.D.,Berat Jenis
BAAK,Biro Administrasi Akademis Kemahasiswaaan
BAB,Buang Air Besar
BABEL,Bangka Belitung
BABINKUMNAS,Badan Pembinaan Hukum Nasional
BAHUMAS,Badan Musyawarah Pengusaha Swasta
BAK,"""""1 buang air kecil, 2 Biro Administrasi Keuangan"
BAKIN,Badan Koordinasi Intelijen
BAKN,Badan Administrasi Kepegawaian Negara
BAKOLAK (INPRES),Badan Koordinasi Pelaksanaan (Instruksi Presiden)
BAKOM PKB,Badan Komunikasi Penghayatan Kesatuan Bangsa
BAKOPDA,Badan Koordinasi Pembangungan Daerah
BAKOPTRANAS,Badan Koordinasi Penyelenggaraan Transmigrasi Nasional
BAKORKAMLA,Badan Koordinasi Keamanan Laut
BAKORPAKEM,Badan Koodinasi Pengawas Aliran Kepercayaan Masyarakat
BAKORSTANAS,Badan Koordinasi Stabilitas Nasional
BAKORSTANASDA,Badan Koordinasi Stabilitas Nasional Daerah
BAKOSURTANAL,Badan Koordinasi Survei dan Pemetaan Nasional
BALAR,Balai Arkeologi
BALITA,(anak) bawah lima tahun
BALITBANG,Badan Penelitian dan Pengembangan
BALON,bakal calon
BAMUS,Badan Musyawarah
BAN,Badan Akreditasi Nasional
BANDARA,bandar udara
BANDES,bantuan desa
BANGDES,pembangunan desa
BANJARMASKUALA,Banjar Banjarbaru Banjarmasin Barito Kuala
BANPOL,bantuan polisi
BANPRES,bantuan presiden
BANPUR,bantuan tempur
BANSARKAS,bantuan sarana kesehatan
BANSOS,bantuan sosial
BAP,berita acara pemeriksaan
BAPANAS,Badan Pangan Nasional
BAPAREKRAF,Badan Pariwisata dan Ekonomi  Kreatif
BAPEK,Badan Pertimbangan Kepegawaian
BAPEKAN,Badan Pengawas Kegiatan Aparatur Negara
BAPEPAM LK,Badan Pengawas Pasar Modal dan Lembaga Keuangan
BAPERKI,Badan Permusjawaratan Kewarganegaraan Indonesia
BAPETEN,Badan Pengawas Tenaga Nuklir
BAPINDO,Bank Pembangunan Indonesia
BAPPEBTI,Badan Pengawas Perdagangan Berjangka Komoditi
BAPPEDA,Badan Perencanaan dan Pembangunan Daerah
BAPPENAS,Badan Perencanaan dan Pembangunan Nasional
BAPPEPAM,Badan Pengawas Pasar Modal
BARELANG,Batam Rempang Galang
BASARNAS,Badan SAR Nasional
BATAN,Badan Tenaga Atom Nasional
BATITA,(anak) bawah tiga tahun
BAU,Biro Administrasi Umum
BAWASDA,Badan Pengawas Daerah
BAWASLU,Badan Pengawas Pemilihan Umum
BAWASPROP,Badan Pengawas Provinsi
BAZIS,"""""badan amal, zakat, infak, dan sedekah"
BAZNAS,Badan Amil Zakat Nasional
BB,"""""1 Binnenlands Bestuur, 2 berat badan, 3 Bau Badan"
BBD,Bank Bumi Daya
BBG,bahan bakar gas
BBM,bahan bakar minyak
BBRVBD,Balai Besar Rehabilitasi Vokasional Bina Daksa
BCA,Bank Central Asia
BCT,breast conserving treatment
BD,benih dasar
BEI,Bursa Efek Indonesia
BEJ,Bursa Efek Jakarta
BEKRAF,Badan Ekonomi Kreatif
BERNAMA,Berita Nasional Malaysia
BES,Bursa Efek Surabaya
BFN,Badan Futsal Nasional
BGN,Badan Gizi Nasional
BH,Badan Hukum
BHARADA,Bhayangkara Dua
BHARAKA,Bhayangkara Kepala
BHARATU,Bhayangkara Satu
BHARUDA,Bhayangkara Utama Dua
BHARUMUD,Bhayangkara Utama Muda
BHARUTA,Bhayangkara Utama Satu
BHMN,Badan Hukum Milik Negara
BI,"""""1 bahasa Indonesia, 2 Bank Indonesia"
BIG,Badan Informasi Geospasial
BIKN,Badan Informasi dan Komunikasi Nasional
BIMA,Biru Malam (nama kereta api cepat Jakarta-Surabaya)
BIMAS,"""""1 bimbingan massal, 2 bimbingan masyarakat"
BIMBEL,bimbingan belajar
BIN,Badan Intelijen Negara
BINUS,Bina Nusantara
BIPI,Balai Informasi dan Promosi Industri
BIPIK,bimbingan dan pengembangan industri kecil
BJ,Berat Jenis
BJJ,belajar jarak jauh
BK,"""""1 Bung Karno, 2 bimbingan dan konseling, 3 Badan Kehormatan"
BKD,Badan Kepegawaian Daerah
BKF,Badan Kebijakan Fiskal
BKIA,Balai Kesehatan Ibu dan Anak
BKKBN,Badan Koordinasi Keluarga Berencana Nasional
BKKKS,Badan Koordinasi Kegiatan Kesejahteraan Sosial
BKLL,Badan Koordinasi Lingkungan Lingkungan
BKLN,Biro Kerja Sama Luar Negeri
BKN,"""""1 Badan Kepegawaian Negara, 2 Badan Kesejahteraan Nasional"
BKOW,Badan Kerja Sama Organisasi Wanita
BKPM,Badan Koordinasi Penanaman Modal
BKPN,Badan Kebijaksanaan Perumahan Nasional
BKR,Barisan Keamanan Rakyat
BKSP,Badan Kerja Sama Pembangunan
BKTN,Badan Koperasi Tani dan Nelayan
BLBI,"""""1 Badan Likuidasi Bank Indonesia, 2 Bantuan Likuiditas Bank Indonesia"
BLI,Badan Liga Indonesia
BLK,"""""1 Balai Latihan Ketrampilan, 2 Balai Latihan Kerja"
BLKI,Balai Latihan Kerja Industri
BLKLN,Balai Latihan Kerja Luar Negeri
BLT,bantuan langsung tunai
BLU,Badan Layanan Umum
BM,bahasa Melayu
BMG,Badan Meteorologi dan Geofisika
BMKG,"""""Badan Meteorologi, Klimatologi, dan Geofisika"
BN,Berita Negara
BNI,Bank Negara Indonesia
BNN,Badan Narkotika Nasional
BNP2TKI,Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia
BNPP,Badan Nasional Pengelola Perbatasan
BNSP,Badan Nasional Sertifikasi Profesi
BOB,Badan Otorita Borobudur
BONEK,bondo nekat
BOS,bantuan operasional sekolah
BOTASUPAL,Badan Koordinasi Pemberantasan Uang Palsu
BP2LS,Badan Pelaksana Penanggulangan Lumpur Sidoarjo
BP2MI,Badan Pelindungan Pekerja Migran Indonesia
BP2SAM,Badan Pelaksana Penanggulangan Sarana Air Minum
BP3,"""""1 Badan Pembantu Penyelenggara dan Pembangunan, 2 Badan Pembantu Penyelenggara Pendidikan, 3 Balai Pelestarian Peninggalan Purbakala"
BP3K,Badan Penelitian Pengembangan Pendidikan dan Kebudayaan
BP4,"""""1 Badan Penasihat Perkawinan dan Penyelesaian Perceraian, 2 Balai Pengobatan Pemberantasan Penyakit Paru-Paru"
BP7,Badan Pembina Pendidikan Pelaksanaan Pedoman Penghayatan dan Pengamalan Pancasila
BP,"""""1 Balai Pustaka, 2 benih pokok, 3 bimbingan dan penyuluhan"
BPASN,Badan Pertimbangan Aparatur Sipil Negara
BPCB,Balai Pelestarian Cagar Budaya
BPD,"""""1 Bank Pembangunan Daerah, 2 Badan Perwakilan Desa"
BPDLH,Badan Pengelola Dana Lingkungan Hidup
BPEN,Badan Pengembangan Ekspor Nasional
BPFKPPA,Badan Pekerja Forum Komunikasi Pembinaan dan Pengembangan Anak
BPG,"""""1 Balai Pendidikan Guru, 2 Balai Penelitian Gula"
BPH MIGAS,Badan pengatur Kegiatan Hilir Minyak dan Gas Bumi
BPH,"""""Badan Pemerintah Harian, 2 Badan Pelaksana Harian, 3 Bendara Pangeran Harya"
BPHN,Badan Pembinaan Hukum Nasional
BPHTB,Bea Perolehan Hak atas Tanah dan Bangunan
BPIH,Biaya Penyelenggaraan Ibadah Haji
BPIP,Badan Pembinaan Ideologi Pancasila
BPIS,Badan Pengelola Industri Strategis
BPIW,Badan Pengembangan Infrastruktur Wilayah
BPJS,Badan Penyelenggara Jaminan Sosial
BPJT,Badan Pengatur Jalan Tol
BPK.,Bapak
BPK,Badan Pemeriksa Keuangan
BPKB,Buku Pemilik Kendaraan Bermotor
BPKKS,Badan Pembinaan Kegiatan Kesejahteraan Sosial
BPKN,Badan Perlindungan Konsumen Nasional
BPKP,Badan Pengawas Keuangan dan Pembangunan
BPKPA,Badan Pekerja Konsorsium Pembaruan Agraria
BPKPN,Badan Pemeriksa Kekayaan Pejabat Negara
BPLH,Badan Pengendalian Lingkungan Hidup
BPM,"""""1 Badan Pemberdayaan Masyarakat, 2 Badan Perwakilan Mahasiswa, 3 Bataafse Petroleum Maatschappij"
BPMB,Balai Pengawasan Mutu Barang
BPMD,Balai Pendidikan Masyarakat Desa
BPN,Badan Pertanahan Nasional
BPODT,Badan Pelaksana Otorita Danau Toba
BPOLBF,Badan Pelaksana Otorita Labuan Bajo Flores
BPOM,Badan Pengawasan Obat dan Makanan
BPPC,Badan Penyangga dan Pemasaran Cengkih
BPPN,"""""1 Badan Pertimbangan Pendidikan Nasional, 2 Badan Penyehatan Perbankan Nasional"
BPPT,Badan Pengkajian dan Penerapan Teknologi
BPS,Badan/Biro Pusat Statistik
BPSK,Badan Penyelesaian Sengketa Konsumen
BPTJ,Badan Pengelola Transportasi Jabodetabek
BPTP,Balai Penelitian Tanaman Pangan
BPUPKI,Badan Penyelidik Usaha-usaha Persiapan Kemerdekaan Indonesia
BR,benih sebar
BRAY.,Bendara Raden Ayu
BRG,Badan Restorasi Gambut
BRGM,Badan Restorasi Gambut dan Mangrove
BRI,Bank Rakyat Indonesia
BRIGJEN,brigadir jenderal
BRIGJENPOL,brigadir jenderal polisi
BRIMOB,brigade mobil
BRIN,Badan Riset dan Inovasi Nasional
BRIPDA,brigadir polisi dua
BRIPKA,brigadir polisi kepala
BRIPTU,brigadir polisi satu
BRM,Bendara Raden Mas
BRR,Badan Rehabilitasi Rekonstruksi Aceh dan Nias
BRTI,Badan Regulasi Telekomunikasi Indonesia
BS,"""""1 Barang Sortiran, 2 benih penjenis"
BSD,Bumi Serpong Damai
BSF,Badan Sensor Film
BSI,"""""Bumi Sawangan Indah, Bukit Sawangan Indah, Bina Sarana Informatika"
BSSN,Badan Siber dan Sandi Negara
BTAI,Badan Tenaga Atom Internasional
BTI,Barisan Tani Indonesia
BTN,"""""1 Bank Tabungan Negara, 2 Badan Tim Nasional"
BTPN,Bank Tabungan Pensiun Negara
BUKOPIN,Bank Umum Koperasi Indonesia
BULOG,Badan Urusan Logistik
BUMD,"""""1 Badan Usaha Milik Desa, 2 Badan Usaha Milik Daerah"
BUMN,Badan Usaha Milik Negara
BURAS,bukan ras (tentang ayam)
BURT,Badan Urusan Rumah Tangga
BUSER,buru sergap
BUT,bentuk usaha tetap
BUTSI,Badan Urusan Tenaga Kerja Sukarela Indonesia
BUUD,Badan Usaha Unit Desa
CABA,calon bintara
CADEK,Catur Dharma Eka Karma
CAGUB,Calon Gubenur
CALHAJ,calon haji
CAMA,calon mahasiswa
CAMI,calon mahasiswi
CAPA,calon perwira
CAPEG,calon pegawai
CAPRES,Calon Presiden
CAT,cekungan air tanah
CAWAGUB,Calon Wakil Gubenur
CAWAKOT,Calon Wali Kota
CAWAPRES,Calon Wakil Presiden
CAWU,caturwulan
CBSA,cara belajar siswa aktif
CDOB,calon daerah otonomi baru
CE,Cewek
CEDES,Center for Democratization Studies
CEKAL,cegah tangkal
CERBUNG,cerita bersambung
CERGAM,cerita bergambar
CERPEN,cerita pendek
CGMI,Consentrasi Gerakan Mahasiswa Indonesia
CIPULARANG,Cikampek Purwakarta Padalarang
CO,Cowok
CPM,Corps Polisi Militer
CPNS,calon pegawai negeri sipil
CST,cangkok sumsum tulang
CURANMOR,pencurian kendaraan bermotor
CURAS,pencurian dengan kekerasan
D-1,diploma satu
D-2,diploma dua
D-3,diploma tiga
D-4,diploma empat
D.A.,dengan alamat
D.L.,dinas luar
D3TLH,daya dukung dan daya tampung lingkungan hidup
DAI,Dewan Asuransi Indonesia
DAMRI,Djawatan Angkutan Motor Republik Indonesia
DANANTARA,Daya Anagata Nusantara
DANDIM,komandan distrik militer
DANEM,Daftar Nilai Ebtanas Murni
DANRAMIL,komandan rayon militer
DANREM,Komandan Komando Resor Militer
DANSEK,komandan sektor
DANTON,komandan peleton
DANUN,Daftar Nilai Ujian Nasional
DANWIL,komandan wilayah
DANYON,komandan batalion
DAPODIK,Data Pokok Pendidikan
DAS,"""""1 daerah aliran sungai, 2 Dirgantara Air Service"
DASWATI I (II),Daerah Swatantra Tingkat I (II)
DATI I (II),Daerah Tingkat I (II)
DB,"""""1 Demam Berdarah, 2 Database"
DBD,demam berdarah dengue
DDII,Dewan Dakwah Islamiyah Indonesia
DEKON,deklarasi ekonomi
DEKOPIN,Dewan Koperasi Indonesia
DEKRANAS,Dewan Kerajinan Nasional
DELH,dokumen evaluasi lingkungan hidup
DEN,"""""1 Dewan Ekonomi Nasional, 2 Dewan Energi Nasional"
DEPAG,Departemen Agama
DEPANRI,Dewan Penerbangan dan Antariksa Nasional Republik Nasional
DEPDAGRI,Departemen Dalam Negeri
DEPDIKBUD,Departemen Pendidikan dan Kebudayaan
DEPDIKNAS,Departemen Pendidikan Nasional
DEPENAS,Dewan Pengupahan Nasional
DEPEPROV,dewan pengupahan provinsi
DEPERINDAG,Departemen Perindustrian dan Perdagangan
DEPHANKAM,Departemen Pertahanan dan Keamanan
DEPHUB,Departemen Perhubungan
DEPHUT,Departemen Kehutanan
DEPKES,Departemen Kesehatan
DEPKEU,Departemen Keuangan
DEPKIMPRASWIL,Departemen Permukiman dan Prasarana Wilayah
DEPKOMINFO,Departemen Komunikasi dan Informasi/ Departemen Komunikasi dan Informatika
DEPKUMDANG,Departemen Hukum dan Perundang-undangan
DEPKUMHAM,Departemen Hukum dan Hak Asasi Manusia
DEPLU,Departemen Luar Negeri
DEPNAKER,Departemen Tenaga Kerja
DEPNAKERTRANS,Departemen Tenaga Kerja dan Transmigrasi
DEPPARBUD,Departemen Pariwisata dan Kebudayaan
DEPSOS,Departemen Sosial
DEPTAMBEN,Departemen Pertambangan dan Energi
DEPTAN,Departemen Pertanian
DI/TII/NII,Darul Islam/Tentara Islam Indonesia/Negara Islam Indonesia
DI,Daerah Istimewa
DII,Dewan Insinyur Indonesia
DIK,daftar isian kegiatan
DIKDASMEN,Pendidikan Dasar dan Menengah
DIKLAT,pendidikan dan pelatihan
DIKLUSEPORA,"""""Pendidikan Luar Sekolah, Pemuda, dan Olahraga"
DIKMENJUR,Pendidikan Menengah Kejuruan
DIKMENUM,Pendidikan Menengah Umum
DIKTI,Pendidikan Tinggi
DIP,"""""1 daftar isian proyek, 2 dual inline packaging"
DIPA,Daftar Isian Pelaksanaan Anggaran
DIPIAD,Dinas Pusat Intelijen Angkatan Darat
DIRJEN,direktur jenderal
DIRUM,direktur umum
DIRUT,direktur utama
DISPENDA,Dinas Pendapatan Daerah
DITJEN,direktorat jenderal
DIY,Daerah Istimewa Yogyakarta
DJSN,Dewan Jaminan Sosial Nasional
DKI JAYA,Daerah Khusus Ibu Kota Jakarta Raya
DKI,Daerah Khusus Ibukota
DKJ,"""""1 Daerah Khusus Jakarta, 2 Dewan Kesenian Jakarta"
DKK.,dan kawan-kawan
DKPP,Dewan Kehormatan Penyelenggara Pemilu
DLL.,dan lain-lain
DLLAJR,Dinas Lalu Lintas dan Angkutan Jalan Raya
DMI,Dewan Masjid Indonesia
DMO,disfungsi minimal otak
DNI,daftar negatif investasi
DNKI,Dewan Nasional keuangan Inklusif
DOB,daerah otonomi baru
DOLOG,depot logistik
DOLOGDA,depot logistik daerah
DOM,Daerah Operasi Militer
DP3,daftar penilaian pelaksanaan pekerjaan
DPA,Dewan Pertimbangan Agung
DPC,"""""Dewan Perwakilan Cabang, Dewan Pimpinan Cabang"
DPD,"""""1 Dewan Perwakilan Daerah, 2 Dewan Pimpinan Daerah"
DPE,Dewan Penunjang Ekspor
DPLH,dokumen pengelolaan lingkungan hidup
DPN,Dewan Pertahanan Nasional
DPO,Daftar Pencarian Orang
DPOD,Dewan Pertimbangan Otonomi Daerah
DPP,Dewan Pimpinan Pusat
DPR,Dewan Perwakilan Rakyat
DPRD,Dewan Perwakilan Rakyat Daerah
DPRGR,Dewan Perwakilan Rakyat Gotong Royong
DPRP,Dewan Perwakilan Rakyat Papua
DPS,Daftar Pemilih Sementara
DPT,"""""diphteria, pertusis, tetanus"
DPW,Dewan Pimpinan Wilayah
DR.,dokter (profesi)
DR,dana reboisasi
DRA.,Doktoranda
DRG.,Dokter Gigi
DRH.,dokter hewan
DRN,Dewan Riset Nasional
DRS.,Doktorandus
DS.,dominus
DSB.,dan lain sebagainya
DSDAN,Dewan Sumber Daya Air Nasional
DSP,daftar skala prioritas
DST.,dan seterusnya
DTD,Dinas Transfusi Darah
DTW,daerah tujuan wisata
DUBES,Duta Besar
DUFAN,Dunia Fantasi
DUK,daftar usulan kegiatan
DUP,daftar usulan proyek
DWIKORA,dwikomando rakyat
EBT,energi baru terbarukan
EBTA,evaluasi belajar tahap akhir
EBTANAS,evaluasi belajar tahap akhir nasional
EBTKE,"""""Energi Baru, Terbarukan, dan Konservasi Energi"
ED.,"""""1 editor, 2 edisi"
EKSIM,ekspor-impor
EKUIN,"""""ekonomi, keuangan dan industri"
EMKA,ekspedisi muatan kereta api
EMKL,ekspedisi muatan kapal laut
EMKU,ekspedisi muatan kapal udara
ENDIKUP,enak di kuping
ESDM,1 energi sumber daya mineral 2 Energi dan Sumber Daya Mineral
ET,"""""1 Eks Tahanan Politik, 2 Erick Thohir"
EYD,Ejaan (Bahasa Indonesia) yang Disempurnakan
F,"""""1 Fahrenheit, 2 farad"
FABRI,Fraksi ABRI
FAKS.,faksimile
FAPOLTAN,Fakultas Politeknik Pertanian
FASI,Federasi Aeromodelling Seluruh Indonesia
FBR,Forum Betawi Rempug
FBSI,Federasi Buruh Seluruh Indonesia
FE,Fakultas Ekonomi
FFI,Festival Film Indonesia
FH,Fakultas Hukum
FIB,"""""1 Fakultas Ilmu Budaya, 2 Fakultas Ilmu Pengetahuan Budaya"
FIP,Fakultas Ilmu Pendidikan
FISIP,Fakultas Ilmu Sosial dan Ilmu Politik
FISIPOL,Fakultas Ilmu Sosial dan Ilmu Politik
FK,Fakultas Kedokteran
FKG,Fakultas Kedokteran Gigi
FKH,Fakultas Kedokteran Hewan
FKIP,Fakultas Keguruan dan Ilmu Pendidikan
FKOI,Forum Komunikasi Ormas Islam
FKP,Fraksi Karya Pembangunan
FKPPKA,Forum Komunikasi Pembinaan dan Pengembangan Kemampuan Anak
FKSI,Federasi Karate Seluruh Indonesia
FKSS,Fakultas Keguruan Sastra dan Seni
FKUB,Forum Kerukunan Umat Beragama
FLPP,Fasilitas Likuiditas Pembiayaan Perumahan
FMIPA,Fakultas Matematika dan Ilmu Pengetahuan Alam
FOL.,folio
FPBS,Fakultas Pendidikan Bahasa dan Seni
FPDI,Fraksi Partai Demokrasi Indonesia
FPIPS,Fakultas Pendidikan Ilmu Pengetahuan Sosial
